"k","m","alpha_population","lambda_population","alpha_predicted","lambda_predicted"
5,100,0.5,1.5,0.533867565937362,1.44664971956263
5,100,0.5,2,0.543731029855553,2.11202781547909
5,100,1,0.3,0.86516438084509,0.293700727834948
5,100,1,0.5,0.832225849105453,0.477010482843616
5,100,1,1,0.757884012768045,0.914256608393043
5,100,1,1.5,1.06619441246876,1.56299165300152
5,100,1,2,1.17392587428913,2.2039495698642
5,100,1.5,0.3,1.26269445636025,0.286440727188551
5,100,1.5,0.5,1.37569118210818,0.467873364165189
5,100,1.5,1,1.13182282496491,0.938177927325887
5,100,1.5,1.5,0.833258013305388,1.32350467396864
5,100,1.5,2,1.76226118391205,2.00258492408902
5,100,2,0.3,1.87600921985473,0.297857541240477
5,100,2,0.5,2.00878767012618,0.502909239847213
5,100,2,1,2.64656080849873,1.0900635984206
5,100,2,1.5,2.64945583262015,1.50706542083062
5,100,2,2,3.06161267462262,2.10428982944568
10,100,0.3,0.3,0.351512802455563,0.327563982550646
10,100,0.3,0.5,0.320513011876028,0.511161071970128
10,100,0.3,1,0.358018777684629,1.00337139319308
10,100,0.3,1.5,0.318214959952456,1.56764086929397
10,100,0.3,2,0.445159426130704,2.16024186398718
10,100,0.5,0.3,0.327553915642385,0.251694388932424
10,100,0.5,0.5,0.597111366628903,0.557171479787591
10,100,0.5,1,0.427452863182407,0.99349208319909
10,100,0.5,1.5,0.466790314140963,1.510591894752
10,100,0.5,2,0.707721966312965,2.25997306636709
10,100,1,0.3,1.53361179693229,0.322675142855041
10,100,1,0.5,0.859960230291382,0.473899093040563
10,100,1,1,1.12284570219926,1.04100130042061
10,100,1,1.5,1.31528559880005,1.6268649351667
10,100,1,2,0.666024070597314,1.8009488312412
10,100,1.5,0.3,1.76033326692332,0.307086549153792
10,100,1.5,0.5,0.966692810931198,0.443993704586606
10,100,1.5,1,2.33359538388496,1.1241707545068
10,100,1.5,1.5,1.63449111093069,1.53975004961249
10,100,1.5,2,2.0346580021258,2.15083558243932
10,100,2,0.3,1.37695592261255,0.274596783829154
10,100,2,0.5,1.99306078171358,0.504988554306328
10,100,2,1,2.40102369089145,1.03940953775309
10,100,2,1.5,2.53848500940949,1.54706848375499
10,100,2,2,2.54006485084577,2.08187761678115
3,500,0.3,0.3,0.293789667792152,0.303265910125338
3,500,0.3,0.5,0.312714495090768,0.505262313690036
3,500,0.3,1,0.296200165513665,0.983999970333684
3,500,0.3,1.5,0.291550760460086,1.47379157465184
3,500,0.3,2,0.325265078991651,2.06205493398011
3,500,0.5,0.3,0.493847555632237,0.296705305180512
3,500,0.5,0.5,0.528409910679329,0.512109904759564
3,500,0.5,1,0.512040286153206,1.00613086054218
3,500,0.5,1.5,0.554194946923963,1.58447009441697
3,500,0.5,2,0.436617002626991,1.83760957929681
3,500,1,0.3,1.1380261917795,0.313800772065588
3,500,1,0.5,0.836501196249445,0.462613116388093
3,500,1,1,1.30269968285466,1.09025814249108
3,500,1,1.5,0.990835022903048,1.54186451499118
3,500,1,2,0.927339705172926,1.9433497460559
3,500,1.5,0.3,1.10492582239721,0.272222195767449
3,500,1.5,0.5,1.61692361179812,0.506021134437469
3,500,1.5,1,1.90400410708388,1.08320327835999
3,500,1.5,1.5,1.35803461418836,1.45897174762795
3,500,1.5,2,1.48154110517353,1.99833513014019
3,500,2,0.3,2.05077168401331,0.302870242670178
3,500,2,0.5,1.74435520496227,0.470120697121456
3,500,2,1,2.12793185602641,1.0184665748151
3,500,2,1.5,2.41555182945449,1.58050168785267
3,500,2,2,2.11013477984816,1.99588112644851
5,500,0.3,0.3,0.39630116357468,0.353738623517566
5,500,0.3,0.5,0.284743691905169,0.496844787881128
5,500,0.3,1,0.276877235497523,0.947133083743392
5,500,0.3,1.5,0.31605952840182,1.54152867005614
5,500,0.3,2,0.250430761207826,1.84965529002948
5,500,0.5,0.3,0.532130687381141,0.298605185234919
5,500,0.5,0.5,0.537660912540743,0.522857170412317
5,500,0.5,1,0.577289912993729,1.03591368518246
5,500,0.5,1.5,0.408733903554196,1.38297099235463
5,500,0.5,2,0.625070723332464,2.18413765029982
5,500,1,0.3,0.989458220484084,0.300572978687705
5,500,1,0.5,1.11208297628909,0.511542588099837
5,500,1,1,0.880584139488473,0.94044314040384
5,500,1,1.5,1.0542173864902,1.51028835007455
5,500,1,2,0.932672171015293,1.95342584941536
5,500,1.5,0.3,1.69856064017404,0.308576692701172
5,500,1.5,0.5,1.43200420692447,0.493693130800966
5,500,1.5,1,1.91094230990857,1.04896382726729
5,500,1.5,1.5,1.49635373319034,1.49561676881276
5,500,1.5,2,1.58675260611344,2.0544070685748
5,500,2,0.3,1.51641358924475,0.278207903820044
5,500,2,0.5,1.85803739447183,0.492695462365373
5,500,2,1,1.74901368188584,0.967035915979067
5,500,2,1.5,2.23512982342218,1.5439851408999
5,500,2,2,1.85798797481693,1.98758689733222
10,500,0.3,0.3,0.260209773396418,0.287200583917875
10,500,0.3,0.5,0.285533312057669,0.48775677474041
10,500,0.3,1,0.349095094762742,1.04709873013198
10,500,0.3,1.5,0.316224593552761,1.53237257361179
10,500,0.3,2,0.283900971568073,1.93591533918952
10,500,0.5,0.3,0.651076497357599,0.315041833609666
10,500,0.5,0.5,0.50635401988402,0.506789308972657
10,500,0.5,1,0.550970746204257,1.01787594631314
10,500,0.5,1.5,0.5678254555678,1.53576735514216
10,500,0.5,2,0.520041097002104,2.06285548715386
10,500,1,0.3,1.00518766655005,0.305446242738981
10,500,1,0.5,1.16991190661065,0.511688378083636
10,500,1,1,1.10281874332286,1.03165855820407
10,500,1,1.5,0.838777056958766,1.40403436719898
10,500,1,2,0.928791808290407,1.98882830208168
10,500,1.5,0.3,1.34655332113143,0.293737672197313
10,500,1.5,0.5,1.3269364640847,0.486045661728167
10,500,1.5,1,1.58401045203209,1.00178138017654
10,500,1.5,1.5,1.17401671330445,1.44500859891996
10,500,1.5,2,1.65179701615125,2.05371481887996
10,500,2,0.3,1.82746281863704,0.297207942772138
10,500,2,0.5,1.7244114639936,0.482387376809493
10,500,2,1,1.98815890364349,1.0101639457047
10,500,2,1.5,2.22517148896495,1.56323646376587
10,500,2,2,2.16069410929631,2.02452678327099
3,1000,0.3,0.3,0.312732565104961,0.300153349041939
3,1000,0.3,0.5,0.333890982405865,0.535682927184098
3,1000,0.3,1,0.30821360074915,0.995186799694784
3,1000,0.3,1.5,0.312947065806657,1.48644015779355
3,1000,0.3,2,0.288617907464504,1.99000578299165
3,1000,0.5,0.3,0.550510390021373,0.307798714167438
3,1000,0.5,0.5,0.541693671775283,0.51912337715039
3,1000,0.5,1,0.516748111855122,1.01824243449955
3,1000,0.5,1.5,0.545346804734436,1.55555899092142
3,1000,0.5,2,0.4865853787167,1.92234191758325
3,1000,1,0.3,0.976946838768571,0.293214320764946
3,1000,1,0.5,0.962179744549212,0.495291803142754
3,1000,1,1,1.01998554526945,1.01072247483535
3,1000,1,1.5,1.0493765833322,1.55405492903665
3,1000,1,2,1.04141465348366,1.98623393502203
3,1000,1.5,0.3,1.43890551323839,0.291940094871461
3,1000,1.5,0.5,1.62308425330648,0.524909758011563
3,1000,1.5,1,1.65764497797936,1.02444306351244
3,1000,1.5,1.5,1.37747075875195,1.44424068854496
3,1000,1.5,2,1.88246567585447,2.1281444267428
3,1000,2,0.3,1.8867456333154,0.295443493583525
3,1000,2,0.5,1.82755252117977,0.491324510521918
3,1000,2,1,2.05145483394153,1.01257160967216
3,1000,2,1.5,2.30232576697599,1.5657312289346
3,1000,2,2,2.22263614060357,2.07849722597748
5,1000,0.3,0.3,0.310343952239491,0.300192789724097
5,1000,0.3,0.5,0.291089890029434,0.49124204655709
5,1000,0.3,1,0.307761047873646,0.994741777004674
5,1000,0.3,1.5,0.296310930731124,1.47581797563907
5,1000,0.3,2,0.292805675908312,1.91981464838427
5,1000,0.5,0.3,0.479150756355375,0.302589350752532
5,1000,0.5,0.5,0.573918741289526,0.513908475451171
5,1000,0.5,1,0.459556540905032,0.98503252750379
5,1000,0.5,1.5,0.46021093808522,1.41970575416344
5,1000,0.5,2,0.511513448122423,2.04299684441066
5,1000,1,0.3,1.09040162052261,0.310731059662067
5,1000,1,0.5,0.997573099964939,0.514842715658596
5,1000,1,1,1.05268131899647,1.02088574292138
5,1000,1,1.5,0.995927783782826,1.52143739011371
5,1000,1,2,1.05761658286792,2.02316776314983
5,1000,1.5,0.3,1.58804889426101,0.303868505498394
5,1000,1.5,0.5,1.85296030518475,0.527932953867275
5,1000,1.5,1,1.43682549420482,0.991413677044329
5,1000,1.5,1.5,1.41307515548542,1.47397719752043
5,1000,1.5,2,1.3516339989379,1.94049791507423
5,1000,2,0.3,1.86784729642677,0.295434955472592
5,1000,2,0.5,2.24784339469188,0.519816779167741
5,1000,2,1,2.21083271224052,1.01864421330392
5,1000,2,1.5,2.17755416884647,1.52504943296008
5,1000,2,2,2.1185979411006,2.03987393677235
10,1000,0.3,0.3,0.318734563873149,0.306079328795895
10,1000,0.3,0.5,0.277512213179216,0.486058082283853
10,1000,0.3,1,0.312048786814557,1.00695656385506
10,1000,0.3,1.5,0.285466416056443,1.45713652539052
10,1000,0.3,2,0.30918272677809,2.02700414406136
10,1000,0.5,0.3,0.462449864996597,0.290783596877009
10,1000,0.5,0.5,0.519943093776238,0.508549352292903
10,1000,0.5,1,0.466987015830819,0.980293892440386
10,1000,0.5,1.5,0.44586745988563,1.45411566492839
10,1000,0.5,2,0.448733221681323,1.92662419902044
10,1000,1,0.3,0.955151396151632,0.293925924785436
10,1000,1,0.5,0.991465187212452,0.496425427217037
10,1000,1,1,0.828821763157612,0.969496423366945
10,1000,1,1.5,0.996069182542851,1.50988636639668
10,1000,1,2,0.827792153864721,1.92648571955942
10,1000,1.5,0.3,1.59311396254634,0.29989487848361
10,1000,1.5,0.5,1.38614997267832,0.492557041304099
10,1000,1.5,1,1.75797162383642,1.04338579763789
10,1000,1.5,1.5,1.43494580397382,1.49407488014549
10,1000,1.5,2,1.51499990508892,2.01102674743161
10,1000,2,0.3,1.63931383528361,0.289475181515922
10,1000,2,0.5,2.1118092887969,0.507037125455191
10,1000,2,1,2.42616799811949,1.04624795153504
10,1000,2,1.5,1.82769782388204,1.47478822184785
10,1000,2,2,2.08195636048913,2.03371836990118
3,10000,0.3,0.3,0.303448106548749,0.30379207986407
3,10000,0.3,0.5,0.305846769709024,0.50730728925555
3,10000,0.3,1,0.297697257166146,0.998478779655125
3,10000,0.3,1.5,0.305210824964888,1.49343249228368
3,10000,0.3,2,0.292726542550372,1.99344037086412
3,10000,0.5,0.3,0.50465974539984,0.301385883940384
3,10000,0.5,0.5,0.485284630251408,0.494130256926292
3,10000,0.5,1,0.500914515621844,0.996296845184406
3,10000,0.5,1.5,0.49839320742758,1.49374923068681
3,10000,0.5,2,0.495688028773293,1.98746136415284
3,10000,1,0.3,0.981036562031659,0.296597974651377
3,10000,1,0.5,1.01210807149764,0.502882645698264
3,10000,1,1,0.993946251680609,0.995978499599733
3,10000,1,1.5,0.974487734440481,1.48377184326528
3,10000,1,2,0.968930523656309,1.98572526089847
3,10000,1.5,0.3,1.49711788233089,0.300541646915735
3,10000,1.5,0.5,1.49816874027019,0.500371522200294
3,10000,1.5,1,1.39830695104902,0.983109917386901
